total_off_points,total_tds,td_pct,pass_pct_defense,rec_td_pct,receiving_touchdown,total_off_yards,ypa,win_pct,team,season
452.0,80.0,0.06,0.55,0.052,28.0,6209,7.27,0.684,DAL,2022
288.0,47.0,0.03,0.59,0.032,18.0,5942,7.21,0.294,DEN,2022
442.0,81.0,0.06,0.56,0.05,29.0,6623,7.65,0.529,DET,2022
363.0,68.0,0.05,0.52,0.049,27.0,6003,7.06,0.471,GB,2022
294.0,49.0,0.04,0.49,0.036,20.0,5118,6.5,0.176,HOU,2022
276.0,42.0,0.03,0.54,0.029,17.0,5721,6.6,0.294,IND,2022
380.0,66.0,0.05,0.58,0.043,25.0,6264,7.07,0.526,JAX,2022
482.0,100.0,0.07,0.62,0.064,41.0,7220,8.22,0.85,KC,2022
310.0,48.0,0.04,0.56,0.031,16.0,5167,6.79,0.294,LA,2022
384.0,67.0,0.04,0.54,0.037,26.0,6315,6.83,0.556,LAC,2022
380.0,68.0,0.05,0.57,0.049,28.0,6239,7.35,0.353,LV,2022
379.0,73.0,0.06,0.61,0.053,30.0,6451,8.37,0.5,MIA,2022
426.0,80.0,0.05,0.58,0.046,30.0,6479,7.33,0.722,MIN,2022
318.0,50.0,0.04,0.6,0.036,19.0,5647,7.25,0.471,NE,2022
328.0,60.0,0.05,0.54,0.048,24.0,5951,7.97,0.412,NO,2022
353.0,55.0,0.04,0.56,0.033,17.0,5950,6.68,0.526,NYG,2022
298.0,45.0,0.03,0.55,0.024,15.0,5726,6.59,0.412,NYJ,2022
468.0,82.0,0.06,0.58,0.047,25.0,6873,8.28,0.8,PHI,2022
303.0,40.0,0.03,0.57,0.022,12.0,5734,6.57,0.529,PIT,2022
397.0,72.0,0.05,0.53,0.053,30.0,6324,7.63,0.5,SEA,2022
439.0,81.0,0.06,0.62,0.06,30.0,6409,8.05,0.75,SF,2022
307.0,57.0,0.04,0.57,0.035,26.0,6054,6.4,0.444,TB,2022
294.0,49.0,0.04,0.64,0.036,16.0,5358,7.25,0.412,TEN,2022
303.0,57.0,0.04,0.56,0.045,24.0,5926,7.03,0.529,WAS,2022
327.0,53.0,0.04,0.51,0.033,18.0,5795,6.32,0.235,ARI,2023
314.0,48.0,0.04,0.54,0.033,17.0,5934,7.36,0.412,ATL,2023
476.0,81.0,0.06,0.63,0.055,27.0,6542,7.97,0.737,BAL,2023
439.0,81.0,0.06,0.59,0.052,29.0,6518,7.68,0.632,BUF,2023
223.0,33.0,0.02,0.5,0.023,13.0,5014,5.63,0.118,CAR,2023
358.0,55.0,0.04,0.62,0.038,19.0,5820,6.87,0.412,CHI,2023
355.0,66.0,0.05,0.57,0.045,27.0,5784,7.08,0.529,CIN,2023
383.0,63.0,0.04,0.58,0.04,24.0,6028,6.67,0.611,CLE,2023
466.0,86.0,0.06,0.54,0.06,36.0,6580,7.72,0.667,DAL,2023
351.0,65.0,0.05,0.56,0.056,28.0,5376,7.08,0.471,DEN,2023
456.0,87.0,0.06,0.61,0.051,30.0,6917,7.75,0.7,DET,2023
377.0,75.0,0.05,0.53,0.056,32.0,6115,7.39,0.526,GB,2023
372.0,66.0,0.05,0.57,0.046,27.0,6215,7.84,0.579,HOU,2023
365.0,55.0,0.04,0.54,0.032,18.0,5941,6.88,0.529,IND,2023
366.0,61.0,0.04,0.61,0.036,22.0,6023,7.22,0.529,JAX,2023
362.0,65.0,0.04,0.58,0.045,28.0,6166,7.09,0.714,KC,2023
413.0,72.0,0.05,0.6,0.046,26.0,6345,7.54,0.556,LA,2023
343.0,59.0,0.04,0.58,0.038,24.0,5954,6.91,0.294,LAC,2023
301.0,51.0,0.04,0.56,0.037,20.0,5208,6.8,0.471,LV,2023
482.0,88.0,0.06,0.59,0.054,30.0,7006,8.53,0.611,MIA,2023
333.0,67.0,0.05,0.59,0.049,30.0,6253,7.68,0.412,MIN,2023
233.0,42.0,0.03,0.56,0.03,16.0,5019,6.33,0.235,NE,2023
386.0,69.0,0.05,0.56,0.047,28.0,5967,7.1,0.529,NO,2023
250.0,41.0,0.03,0.56,0.03,15.0,5225,6.62,0.353,NYG,2023
246.0,30.0,0.02,0.52,0.019,11.0,5020,5.76,0.412,NYJ,2023
415.0,70.0,0.05,0.63,0.044,24.0,6257,7.44,0.611,PHI,2023
290.0,42.0,0.03,0.57,0.026,13.0,5431,6.88,0.556,PIT,2023
346.0,57.0,0.04,0.55,0.041,23.0,5747,7.4,0.529,SEA,2023
484.0,93.0,0.07,0.64,0.069,33.0,6966,9.56,0.7,SF,2023
340.0,64.0,0.05,0.61,0.05,28.0,5553,7.25,0.526,TB,2023
305.0,45.0,0.04,0.56,0.029,14.0,5358,7.27,0.353,TEN,2023
334.0,63.0,0.05,0.57,0.039,24.0,5766,6.79,0.235,WAS,2023
403.0,64.0,0.05,0.55,0.039,21.0,6310,7.25,0.471,ARI,2024
366.0,60.0,0.04,0.57,0.039,21.0,6502,7.93,0.471,ATL,2024
506.0,104.0,0.08,0.64,0.087,41.0,7373,8.86,0.684,BAL,2024
511.0,93.0,0.07,0.58,0.058,30.0,6168,7.66,0.75,BUF,2024
348.0,63.0,0.05,0.49,0.041,22.0,5289,6.41,0.294,CAR,2024
292.0,53.0,0.04,0.53,0.036,20.0,5286,6.35,0.294,CHI,2024
461.0,98.0,0.07,0.56,0.067,43.0,6492,7.65,0.529,CIN,2024
253.0,47.0,0.03,0.53,0.03,19.0,5487,6.08,0.176,CLE,2024
340.0,54.0,0.04,0.54,0.037,23.0,5797,6.57,0.412,DAL,2024
391.0,72.0,0.05,0.61,0.054,30.0,5716,6.82,0.556,DEN,2024
553.0,107.0,0.07,0.64,0.072,39.0,7206,8.75,0.833,DET,2024
462.0,80.0,0.06,0.59,0.06,28.0,6435,8.42,0.611,GB,2024
352.0,55.0,0.04,0.57,0.036,20.0,5861,7.08,0.579,HOU,2024
373.0,60.0,0.05,0.52,0.04,20.0,5917,7.29,0.471,IND,2024
308.0,51.0,0.04,0.55,0.036,19.0,5446,7.0,0.235,JAX,2024
379.0,67.0,0.05,0.59,0.044,26.0,5836,6.87,0.85,KC,2024
341.0,59.0,0.04,0.55,0.04,22.0,5861,7.45,0.579,LA,2024
396.0,63.0,0.05,0.59,0.045,23.0,5783,7.69,0.611,LAC,2024
306.0,48.0,0.03,0.56,0.031,19.0,5474,6.65,0.235,LV,2024
347.0,56.0,0.04,0.59,0.038,22.0,5831,6.95,0.471,MIA,2024
415.0,79.0,0.06,0.63,0.065,35.0,6234,8.17,0.778,MIN,2024
291.0,48.0,0.04,0.53,0.035,18.0,5312,6.45,0.235,NE,2024
333.0,57.0,0.04,0.56,0.039,21.0,5684,6.92,0.294,NO,2024
278.0,45.0,0.03,0.52,0.026,15.0,5304,6.09,0.176,NYG,2024
340.0,71.0,0.05,0.53,0.052,31.0,5577,6.74,0.294,NYJ,2024
462.0,78.0,0.06,0.58,0.054,24.0,6565,7.96,0.857,PHI,2024
370.0,56.0,0.04,0.6,0.043,21.0,5773,7.32,0.556,PIT,2024
356.0,61.0,0.04,0.57,0.036,21.0,6006,7.59,0.588,SEA,2024
377.0,63.0,0.05,0.54,0.044,23.0,6587,8.56,0.353,SF,2024
494.0,99.0,0.07,0.63,0.074,41.0,7041,8.12,0.556,TB,2024
324.0,57.0,0.04,0.5,0.043,22.0,5476,7.11,0.176,TEN,2024
479.0,83.0,0.06,0.53,0.056,29.0,6550,7.62,0.7,WAS,2024
