model,mae,rmse,r2,best_params
Tuned Lasso Regression,0.08428237469249918,0.10268306293779401,0.6594546828577467,"{""alpha"": 0.0001}"
Tuned Ridge Regression,0.08462425755529021,0.10285489549369496,0.6583139741112995,"{""alpha"": 0.0001}"
Tuned Elastic-Net Regression,0.08444611984800938,0.10286404110508691,0.6582532076008406,"{""alpha"": 0.0001, ""l1_ratio"": 0.1}"
Linear Regression,0.08465293889914606,0.10289019711859697,0.6580793884492206,{}
Neural Network,0.09258919113861461,0.11281776671782191,0.5889143850071288,{}
Random Forest,0.09244845586144063,0.11324392916682383,0.5858028159508176,"{""max_depth"": 3, ""n_estimators"": 200}"
Boosted Trees,0.09135929659843442,0.11327037696424395,0.5856093242112685,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 100}"
Decision Tree (CART),0.10043591437700868,0.12393871056581172,0.5038748649541825,"{""max_depth"": 3, ""min_samples_leaf"": 5}"
