feature,mean_abs_shap
total_off_points,0.08960903327951265
pass_pct_defense,0.04117731136959871
ypa,0.006897757205863551
rec_td_pct,0.006506321627360498
total_off_yards,0.0034036738035016843
receiving_touchdown,0.0013754624086795954
total_tds,0.0010407205906170322
td_pct,0.0007386870073338892
